"Reference","Parts","Qty","Value","Footprint"
"D1","5mm LED","1","LED","LED_THT:LED_D5.0mm"
"J1","2.54mm female header socket","1","Conn_01x01_Socket","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical"
"J2","KF128 3.81mm 2P","1","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal"
"J3","2.54mm female header socket","1","Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical"
"J4,J5","2.54mm pin header","2","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"R1","1206 SMD resistor 220 ohm","1","220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
